Country name,Access to electricity (% of population),"GDP per capita, PPP (current international $)",Population ages 0-14 (% of total population),"School enrollment, tertiary (% gross)","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",CO2 emissions (kt)
Middle East & North Africa (IDA & IBRD countries),96.81097816,11699.13065,30.95413744,38.5551796,45.776742,1370939
Tonga,100,6778.503569,34.61991945,,10.58622123,118.1
South Asia (IDA & IBRD),98.76807243,7019.985325,27.52620141,26.36730003,77.56340034,2518434.77
Sub-Saharan Africa (IDA & IBRD countries),50.58148381,4098.007476,42.06403828,9.398929596,44.03506117,760868.113
Trinidad and Tobago,100,25419.54592,19.29938001,,21.97072547,15420
Tunisia,99.9,11471.4562,24.91874302,33.8982811,30.42981942,29293
Turkiye,100,31637.53054,23.4805146,125.7637863,26.03180162,407406.2
Tuvalu,99.68236542,5080.765244,31.63297184,,6.02840838,6.6
Tanzania,42.74336243,2851.774902,43.60735493,3.707870007,24.74048013,14435.5
Uganda,45.22034836,2478.824101,45.19163394,,35.21822646,5674.6
Ukraine,100,14289.04004,15.22338393,75.90794373,14.53144476,165663.6
Upper middle income,99.40398167,19489.27412,20.50310455,60.64134979,34.18731341,16383995.51
Uruguay,100,25663.41061,19.43669182,75.17138672,9.533862914,6514.3
United States,100,70219.47245,18.2430347,84.85508728,7.663692516,4320532.5
Uzbekistan,99.9,8607.52745,30.07097351,21.79185867,34.78609557,115577.8
St. Vincent and the Grenadines,100,15271.27028,22.09245486,,21.12973864,219.8
"Venezuela, RB",99.98771667,,28.17072733,,21.74698878,72509
British Virgin Islands,100,,15.21271127,32.70713043,,
Virgin Islands (U.S.),100,,19.24298888,,8.996021018,
Viet Nam,100,11727.79622,22.54515028,38.87323761,20.3898157,355323.1
Vanuatu,70.04277039,3090.227958,39.61565036,,12.88296752,121.3
World,91.41409564,19068.8419,25.49516222,41.04835129,42.80714522,33566427.59
Samoa,98.3,6107.162079,37.71918597,17.57184982,11.01483371,206.5
Kosovo,,13113.69755,22.0018598,,,
Yemen,74.87719727,,39.87210734,,44.46696713,9960.1
South Africa,89.3,14717.69407,28.67296249,25.23908043,28.67475434,393241.6
Zambia,46.68511581,3627.531178,43.26236287,,25.92546019,7607.1
Zimbabwe,48.97992706,2333.973632,40.89330469,,20.83469969,8312.5
